Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Berserk,9.47,363742.0,1,1,"725,145","130,498",Manga,Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']",Seinen,Young Animal,"Miura, Kentarou (Story & Art), Studio Gaga (Art)",289,"[252, 17, 20]"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run (JoJo's Bizarre Adventure Part 7: Steel Ball Run),9.31,172244.0,2,23,"280,469","46,277",Manga,24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","['Action', 'Adventure', 'Mystery', 'Supernatural']",['Historical'],Seinen,Ultra Jump,"Araki, Hirohiko (Story & Art)",131,"[123, 7, 1]"
Vagabond,9.26,154596.0,3,13,"406,126","44,264",Manga,37,327,On Hiatus,"Sep  3, 1998 to May  21, 2015","['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']",Seinen,Morning,"Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)",104,"[93, 9, 2]"
One Piece,9.22,392826.0,4,4,"642,656","119,980",Manga,Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","['Action', 'Adventure', 'Fantasy']",[],Shounen,Shounen Jump (Weekly),"Oda, Eiichiro (Story & Art)",231,"[190, 21, 20]"
Monster,9.16,104334.0,5,29,"258,603","22,011",Manga,18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']",Seinen,Big Comic Original,"Urasawa, Naoki (Story & Art)",86,"[69, 11, 6]"
Slam Dunk,9.08,80824.0,6,54,"179,528","16,618",Manga,31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","['Award Winning', 'Sports']","['School', 'Team Sports']",Shounen,Shounen Jump (Weekly),"Inoue, Takehiko (Story & Art)",57,"[56, 1, 0]"
Vinland Saga,9.08,137921.0,7,17,"319,816","35,023",Manga,Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","['Action', 'Adventure', 'Award Winning', 'Drama']",['Historical'],Seinen,Afternoon,"Yukimura, Makoto (Story & Art)",84,"[64, 10, 10]"
Fullmetal Alchemist,9.04,161492.0,8,20,"301,718","30,348",Manga,27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Military'],Shounen,Shounen Gangan,"Arakawa, Hiromu (Story & Art)",61,"[58, 1, 2]"
Grand Blue (Grand Blue Dreaming),9.03,69470.0,10,48,"182,561","17,908",Manga,Unknown,Unknown,Publishing,"Apr  7, 2014 to ?",['Comedy'],[],Seinen,good! Afternoon,"Inoue, Kenji (Story), Yoshioka, Kimitake (Art)",48,"[44, 2, 2]"
Kingdom,9.01,64776.0,12,53,"179,547","15,745",Manga,Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","['Action', 'Award Winning']","['Historical', 'Military']",Seinen,Young Jump,"Hara, Yasuhisa (Story & Art)",53,"[49, 3, 1]"
Oyasumi Punpun (Goodnight Punpun),9.0,194923.0,13,8,"467,925","54,520",Manga,13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","['Drama', 'Slice of Life']",['Psychological'],Seinen,Big Comic Spirits,"Asano, Inio (Story & Art)",287,"[214, 39, 34]"
Houseki no Kuni (Land of the Lustrous),8.97,47979.0,15,82,"143,485","15,889",Manga,13,108,Finished,"Oct  25, 2012 to Apr  25, 2024","['Action', 'Drama', 'Fantasy']",['Anthropomorphic'],Seinen,Afternoon,"Ichikawa, Haruko (Story & Art)",56,"[46, 9, 1]"
Real,8.95,21858.0,16,160,"94,459","4,049",Manga,Unknown,Unknown,Publishing,"Oct  28, 1999 to ?","['Award Winning', 'Drama', 'Sports']","['Psychological', 'Team Sports']",Seinen,Young Jump,"Inoue, Takehiko (Story & Art)",27,"[27, 0, 0]"
20th Century Boys,8.94,97067.0,17,25,"276,109","21,081",Manga,22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']",Seinen,Big Comic Spirits,"Urasawa, Naoki (Story & Art)",86,"[74, 8, 4]"
Ashita no Joe (Ashita no Joe: Fighting for Tomorrow),8.93,18082.0,18,306,"55,566","4,445",Manga,20,171,Finished,"Jan  1, 1968 to May  13, 1973","['Drama', 'Slice of Life', 'Sports']",['Combat Sports'],Shounen,Shounen Magazine (Weekly),"Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)",23,"[20, 1, 2]"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Kaguya-sama: Love Is War),8.9,137106.0,22,24,"279,432","29,155",Manga,28,281,Finished,"May  19, 2015 to Nov  2, 2022","['Award Winning', 'Comedy']","['Love Status Quo', 'School']",Seinen,Young Jump,"Akasaka, Aka (Story & Art)",116,"[99, 8, 9]"
Yotsuba to! (Yotsuba&!),8.9,56867.0,23,71,"161,381","16,785",Manga,Unknown,Unknown,Publishing,"Mar  21, 2003 to ?","['Award Winning', 'Comedy', 'Slice of Life']","['Childcare', 'Iyashikei']",,Dengeki Daioh,"Azuma, Kiyohiko (Story & Art)",47,"[47, 0, 0]"
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch (Umineko When They Cry Episode 8: Twilight of the Golden Witch),8.89,6975.0,24,1075,"18,343","1,690",Manga,9,42,Finished,"Jan  21, 2012 to Jun  22, 2015","['Drama', 'Fantasy', 'Mystery', 'Supernatural']",[],Shounen,Gangan Joker,"Natsumi, Kei (Art), Ryukishi07 (Story)",14,"[12, 2, 0]"
GTO (GTO: Great Teacher Onizuka),8.87,68173.0,26,56,"175,134","11,445",Manga,25,208,Finished,"Dec  11, 1996 to Jan  30, 2002","['Action', 'Award Winning', 'Comedy', 'Drama', 'Ecchi']","['Delinquents', 'School', 'Workplace']",Shounen,Shounen Magazine (Weekly),"Fujisawa, Tooru (Story & Art)",47,"[39, 1, 7]"
3-gatsu no Lion (March Comes in Like a Lion),8.86,19712.0,27,229,"70,558","4,177",Manga,Unknown,Unknown,Publishing,"Jul  13, 2007 to ?","['Award Winning', 'Drama', 'Slice of Life']","['Childcare', 'Iyashikei', 'Strategy Game']",Seinen,Young Animal,"Umino, Chica (Story & Art)",15,"[15, 0, 0]"
Koe no Katachi (A Silent Voice),8.86,149823.0,28,26,"275,449","22,555",Manga,7,64,Finished,"Aug  7, 2013 to Nov  19, 2014","['Award Winning', 'Drama']",[],Shounen,Shounen Magazine (Weekly),"Ooima, Yoshitoki (Story & Art)",108,"[97, 10, 1]"
Haikyuu!! (Haikyu!!),8.85,109460.0,29,34,"225,239","18,962",Manga,45,407,Finished,"Feb  20, 2012 to Jul  20, 2020","['Award Winning', 'Sports']","['School', 'Team Sports']",Shounen,Shounen Jump (Weekly),"Furudate, Haruichi (Story & Art)",46,"[44, 2, 0]"
Akatsuki no Yona (Yona of the Dawn),8.82,49473.0,32,88,"139,451","14,453",Manga,Unknown,Unknown,Publishing,"Aug  5, 2009 to ?","['Action', 'Adventure', 'Fantasy', 'Romance']",[],Shoujo,Hana to Yume,"Kusanagi, Mizuho (Story & Art)",64,"[51, 11, 2]"
Sousou no Frieren (Frieren: Beyond Journey's End),8.82,42988.0,33,93,"134,779","8,206",Manga,Unknown,Unknown,Publishing,"Apr  28, 2020 to ?","['Adventure', 'Award Winning', 'Drama', 'Fantasy']",[],Shounen,Shounen Sunday,"Yamada, Kanehito (Story), Abe, Tsukasa (Art)",51,"[44, 4, 3]"
Kaze no Tani no Nausicaä (Nausicaä of the Valley of the Wind),8.81,17672.0,38,276,"60,825","3,513",Manga,7,59,Finished,"Oct  9, 1982 to Feb  10, 1994","['Action', 'Adventure', 'Award Winning', 'Fantasy', 'Supernatural']",[],,Animage,"Miyazaki, Hayao (Story & Art)",15,"[15, 0, 0]"
Nana,8.8,46635.0,39,78,"150,657","12,185",Manga,21,84,On Hiatus,"May  26, 2000 to May  26, 2009","['Award Winning', 'Drama', 'Romance']","['Adult Cast', 'Love Polygon', 'Music']",Shoujo,Cookie,"Yazawa, Ai (Story & Art)",25,"[22, 3, 0]"
Kokou no Hito (The Climber),8.8,38059.0,40,112,"118,966","7,089",Manga,17,170,Finished,"Nov  1, 2007 to Oct  27, 2011","['Award Winning', 'Drama', 'Sports']",['Psychological'],Seinen,Young Jump,"Sakamoto, Shinichi (Story & Art)",58,"[53, 2, 3]"
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. (I sold my life for ten thousand yen per year.)",8.77,92975.0,44,58,"171,962","14,161",Manga,3,18,Finished,"Aug  10, 2016 to Oct  25, 2017",['Drama'],[],Shounen,Shounen Jump+,"Taguchi, Shouichi (Art), Miaki, Sugaru (Story)",100,"[88, 4, 8]"
Kaoru Hana wa Rin to Saku (The Fragrant Flower Blooms with Dignity),8.76,25822.0,45,199,"79,951","4,795",Manga,Unknown,Unknown,Publishing,"Oct  21, 2021 to ?","['Drama', 'Romance']",['School'],,Magazine pocket,"Mikami, Saka (Story & Art)",52,"[39, 6, 7]"
Hunter x Hunter,8.75,130858.0,47,22,"284,259","24,558",Manga,Unknown,Unknown,Publishing,"Mar  3, 1998 to ?","['Action', 'Adventure', 'Fantasy']",[],Shounen,Shounen Jump (Weekly),"Togashi, Yoshihiro (Story & Art)",48,"[39, 6, 3]"
Uchuu Kyoudai (Space Brothers),8.75,8560.0,48,491,"36,787","1,458",Manga,Unknown,Unknown,Publishing,"Dec  6, 2007 to ?","['Award Winning', 'Drama', 'Sci-Fi']","['Adult Cast', 'Space', 'Workplace']",Seinen,Morning,"Koyama, Chuuya (Story & Art)",7,"[7, 0, 0]"
Made in Abyss,8.74,56032.0,49,62,"167,533","10,426",Manga,Unknown,Unknown,Publishing,"Oct  20, 2012 to ?","['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",[],,Web Comic Gamma,"Tsukushi, Akihito (Story & Art)",56,"[26, 14, 16]"
Dungeon Meshi (Delicious in Dungeon),8.74,30449.0,51,178,"87,712","5,671",Manga,14,102,Finished,"Feb  15, 2014 to Sep  15, 2023","['Award Winning', 'Comedy', 'Fantasy', 'Gourmet']",[],Seinen,Harta,"Kui, Ryouko (Story & Art)",44,"[39, 4, 1]"
Hajime no Ippo (Hajime no Ippo: Fighting Spirit!),8.73,38498.0,52,167,"91,156","7,077",Manga,Unknown,Unknown,Publishing,"Sep  27, 1989 to ?","['Award Winning', 'Sports']",['Combat Sports'],Shounen,Shounen Magazine (Weekly),"Morikawa, George (Story & Art)",24,"[18, 4, 2]"
One Punch-Man (One-Punch Man),8.73,244685.0,53,7,"496,889","39,085",Manga,Unknown,Unknown,Publishing,"Jun  14, 2012 to ?","['Action', 'Comedy']","['Parody', 'Super Power']",Seinen,Tonari no Young Jump,"Murata, Yusuke (Art), ONE (Story)",60,"[47, 10, 3]"
Veil,8.72,2958.0,55,1523,"13,627",714,Manga,Unknown,Unknown,Publishing,"Nov  15, 2019 to ?","['Romance', 'Slice of Life']",['Historical'],,,"Fukuda, Ikumi (Story & Art)",6,"[6, 0, 0]"
Shoujo Shuumatsu Ryokou (Girls' Last Tour),8.71,29321.0,56,218,"73,919","6,346",Manga,6,47,Finished,"Feb  21, 2014 to Jan  12, 2018","['Adventure', 'Award Winning', 'Slice of Life']",['Iyashikei'],,Kurage Bunch,Tsukumizu (Story & Art),38,"[36, 2, 0]"
Mushishi,8.71,20439.0,57,179,"87,240","2,921",Manga,10,50,Finished,"Oct  8, 1999 to Aug  25, 2008","['Award Winning', 'Fantasy', 'Mystery', 'Supernatural']","['Adult Cast', 'Historical', 'Iyashikei']",Seinen,Afternoon,"Urushibara, Yuki (Story & Art)",12,"[12, 0, 0]"
Chainsaw Man,8.7,393913.0,58,3,"647,542","84,162",Manga,Unknown,Unknown,Publishing,"Dec  3, 2018 to ?","['Action', 'Award Winning', 'Fantasy']","['Gore', 'Urban Fantasy']",Shounen,Shounen Jump+,"Fujimoto, Tatsuki (Story & Art)",376,"[280, 65, 31]"
Kono Oto Tomare!,8.69,13128.0,60,387,"45,627","2,685",Manga,Unknown,Unknown,Publishing,"Aug  4, 2012 to ?",['Drama'],"['Music', 'School']",Shounen,Jump SQ.,"Sakura, Amyuu (Story & Art)",14,"[13, 1, 0]"
Death Note,8.69,232386.0,62,14,"405,526","32,175",Manga,12,108,Finished,"Dec  1, 2003 to May  15, 2006","['Supernatural', 'Suspense']",['Psychological'],Shounen,Shounen Jump (Weekly),"Obata, Takeshi (Art), Ohba, Tsugumi (Story)",106,"[96, 7, 3]"
Beck (BECK: Mongolian Chop Squad),8.69,29431.0,63,189,"82,778","5,103",Manga,34,103,Finished,"Feb  17, 2000 to Jun  5, 2008","['Award Winning', 'Drama', 'Romance']",['Music'],Shounen,Shounen Magazine (Monthly),"Sakuishi, Harold (Story & Art)",30,"[29, 1, 0]"
