Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Tian Guan Cifu (Heaven Official's Blessing),8.85,4641,30,1521,"13,659",832,Manhua,Unknown,Unknown,Publishing,"Oct  19, 2019 to ?","['Action', 'Adventure', 'Boys Love', 'Drama', 'Supernatural']",['Historical'],,,"Mo Xiang Tong Xiu (Story), STARember (Art)",3,"[2, 1, 0]"
Mo Dao Zu Shi (Grandmaster of Demonic Cultivation: Mo Dao Zu Shi),8.63,5078,81,1389,"14,802",716,Manhua,Unknown,260,Finished,"Dec  8, 2017 to Oct  26, 2022","['Action', 'Adventure', 'Boys Love', 'Mystery', 'Supernatural']",['Historical'],,Kuaikan Manhua,"Mo Xiang Tong Xiu (Story), Luo Di Cheng Qiu (Art)",4,"[1, 1, 2]"
19 Tian,8.60,4314,97,1946,"10,785",724,Manhua,Unknown,Unknown,Publishing,"Oct  19, 2018 to ?","['Boys Love', 'Comedy']",[],,,Old Xian (Story & Art),3,"[3, 0, 0]"
Nan Hao Shang Feng,8.53,6541,131,1153,"17,143",495,Manhua,Unknown,Unknown,Publishing,"Apr  30, 2021 to ?",['Comedy'],['School'],,,Brownie (Story & Art),8,"[8, 0, 0]"
Here U Are,8.48,14293,165,638,"29,240","1,457",Manhua,Unknown,156,Finished,"Nov  22, 2017 to Dec  15, 2020","['Boys Love', 'Drama', 'Slice of Life']",['School'],,,D Jun (Story & Art),13,"[11, 1, 1]"
Song of the Long March,8.45,4966,185,612,"30,342",832,Manhua,Unknown,Unknown,Publishing,Feb  2011 to ?,"['Action', 'Adventure', 'Drama']",['Historical'],,Comic Fans,"Xia, Da (Story & Art)",11,"[10, 1, 0]"
SQ: Begin W/Your Name!,8.38,23935,227,259,"64,673","2,405",Manhua,1,9,Finished,"Oct  5, 2015","['Comedy', 'Girls Love', 'Slice of Life']",['School'],,,Tanjiu (Story & Art),18,"[17, 1, 0]"
Feng Shen Ji III,8.25,5182,364,1932,"10,896",108,Manhua,Unknown,80,Finished,2012 to  2014,"['Action', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",Seinen,,"Deng, Zhi Hui (Art), Zheng, Jian He (Story), Cheng, Kin Wo (Art)",3,"[3, 0, 0]"
Feng Shen Ji II,8.24,6977,371,1513,"13,700",153,Manhua,Unknown,64,Finished,2011 to  2012,"['Action', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",,,"Deng, Zhi Hui (Art), Zheng, Jian He (Story), Cheng, Kin Wo (Art)",2,"[2, 0, 0]"
The Ravages of Time,8.20,1893,431,1398,"14,731",452,Manhua,Unknown,Unknown,Publishing,"Jun  15, 2001 to ?","['Action', 'Adventure']","['Historical', 'Military']",,,"Chan, Mou (Story & Art)",10,"[10, 0, 0]"
The One,8.18,8627,456,853,"22,477",855,Manhua,18,110,Finished,"Jan  1, 2005 to Feb  5, 2014","['Drama', 'Romance']","['Psychological', 'Showbiz']",Shoujo,Star☆Girls,"Lee, Nicky (Story & Art)",12,"[10, 0, 2]"
Feng Shen Ji,8.15,9925,504,684,"27,320",564,Manhua,Unknown,38,Finished,2010 to  2011,"['Action', 'Fantasy', 'Supernatural']","['Historical', 'Martial Arts']",,,"Deng, Zhi Hui (Art), Zheng, Jian He (Story), Cheng, Kin Wo (Art)",11,"[9, 2, 0]"
