Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Berserk,9.47,363720,1,1,725079,130489,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Fantasy'"", ""'Horror'"", ""'Supernatural'"", ""'Gore'"", ""'Military'"", ""'Mythology'"", ""'Psychological'""]",Seinen,Young Animal,"[""'Miura,Kentarou'"", ""'Studio Gaga'""]",1989-08-25,Updating,289,252,17,20
JoJo no Kimyou na Bouken Part 7: Steel Ball Run (JoJo's Bizarre Adventure Part 7: Steel Ball Run),9.31,172219,2,23,280428,46269,Manga,24,96,Finished,"[""'Action'"", ""'Adventure'"", ""'Mystery'"", ""'Supernatural'"", ""'Historical'""]",Seinen,Ultra Jump,"[""'Araki,Hirohiko'""]",2004-01-19,2011-04-19,131,123,7,1
Vagabond,9.26,154583,3,13,406082,44258,Manga,37,327,On Hiatus,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Historical'"", ""'Samurai'""]",Seinen,Morning,"[""'Inoue,Takehiko'"", ""'Yoshikawa,Eiji'""]",1998-09-03,2015-05-21,104,93,9,2
One Piece,9.22,392811,4,4,642620,119974,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Fantasy'""]",Shounen,Shounen Jump (Weekly),"[""'Oda,Eiichiro'""]",1997-07-22,Updating,231,190,21,20
Monster,9.16,104327,5,29,258581,22008,Manga,18,162,Finished,"[""'Award Winning'"", ""'Drama'"", ""'Mystery'"", ""'Adult Cast'"", ""'Psychological'""]",Seinen,Big Comic Original,"[""'Urasawa,Naoki'""]",1994-12-05,2001-12-20,86,69,11,6
Slam Dunk,9.08,80820,6,54,179520,16617,Manga,31,276,Finished,"[""'Award Winning'"", ""'Sports'"", ""'School'"", ""'Team Sports'""]",Shounen,Shounen Jump (Weekly),"[""'Inoue,Takehiko'""]",1990-09-18,1996-06-04,57,56,1,0
Vinland Saga,9.08,137915,7,17,319792,35018,Manga,3,16,Publishing,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Historical'""]",Seinen,Afternoon,"[""'Yukimura,Makoto'""]",2005-04-13,Updating,84,64,10,10
Fullmetal Alchemist,9.04,161487,8,20,301710,30347,Manga,27,116,Finished,"[""'Action'"", ""'Adventure'"", ""'Award Winning'"", ""'Drama'"", ""'Fantasy'"", ""'Military'""]",Shounen,Shounen Gangan,"[""'Arakawa,Hiromu'""]",2001-07-12,2010-09-11,61,58,1,2
Tian Guan Cifu (Heaven Official's Blessing: Tian Guan Ci Fu),9.04,6008,9,1580,13223,1299,Novel,6,16,Finished,"[""'Action'"", ""'Adventure'"", ""'Boys Love'"", ""'Supernatural'"", ""'Historical'""]",,,"[""'Mo Xiang Tong Xiu'""]",2021-02-04,2022-03-31,5,3,1,1
Grand Blue (Grand Blue Dreaming),9.03,69463,10,48,182552,17904,Manga,3,16,Publishing,"[""'Comedy'""]",Seinen,good! Afternoon,"[""'Inoue,Kenji'"", ""'Yoshioka,Kimitake'""]",2014-04-07,Updating,48,44,2,2
