Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Demographic,Serialization,Author,Released date,Completed date,Total Review,Recommended,Mixed Feelings,Not Recommended
Imaizumin Chi wa Douyara Gal no Tamariba ni Natteru Rashii (Imaizumi Brings All the Gyarus to His House),8.14,3213,1701,1914,10984,199,Doujinshi,1,2,Publishing,"Aug  11, 2019 to ?","[""'Hentai'"", ""'Harem'""]",Seinen,Magazine Cyberia,"[""'Nori,Gorou'""]",2019-08-11,Updating,4,3,0,1
Totally Captivated: The Last Episode,7.94,1678,1702,5898,3545,15,Doujinshi,2,2,Finished,"Apr  17, 2010 to  2010","[""'Boys Love'"", ""'Comedy'"", ""'Drama'"", ""'Erotica'""]",Seinen,Reijin,"[""'Yoo,Ha Jin'""]",2010-04-17,2010-01-01,2,1,1,0
Michiru Heya (Inside God's Arms: A Room Filled With Love),7.88,3578,1703,2800,7771,57,Doujinshi,13,2,Finished,"Aug  12, 2006 to Aug  16, 2014","[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Family,"[""'Nekota,Yonezou'""]",2006-08-12,2014-08-16,4,2,2,0
Ane Naru Mono (Ane Naru Mono: The Elder-Sister Like One),7.85,3658,1704,1557,13469,235,Doujinshi,1,2,Publishing,"Aug  16, 2015 to ?","[""'Supernatural'"", ""'Hentai'""]",Seinen,Comic ExE,"[""'Iida,Pochi.'""]",2015-08-16,Updating,3,2,1,0
Tonari no Ayane-san,7.74,447,1705,9218,2063,14,Doujinshi,1,2,Publishing,"Dec  30, 2019 to ?","[""'Hentai'""]",Shoujo,Magazine Cyberia,"[""'Herio'""]",2019-12-30,Updating,0,0,0,0
Star Strings yori (From Star Strings),7.7,3110,1724,3629,6012,149,Doujinshi,1,2,Finished,"Aug  14, 2011","[""'Adventure'"", ""'Drama'"", ""'Suspense'"", ""'Psychological'""]",Seinen,Magazine Cyberia,"[""'Tsukushi,Akihito'""]",2011-08-14,2011-08-14,5,4,1,0
Oide yo! Mizuryuu Kei Land (Welcome to Mizuryukei Land),7.68,1328,1725,4512,4771,83,Doujinshi,1,2,Publishing,"Dec  30, 2014 to ?","[""'Hentai'""]",Seinen,Badi,"[""'Mizuryu,Kei'""]",2014-12-30,Updating,2,2,0,0
Succubus Stayed Life (Living With Succubus),7.66,1323,1726,3633,6007,70,Doujinshi,1,2,Publishing,"Dec  30, 2014 to ?","[""'Hentai'"", ""'School'""]",Shoujo,Magazine Cyberia,"[""'Sasamori,Tomoe'""]",2014-12-30,Updating,0,0,0,0
Mousou Elektel dj - Shinaide + Elektel,7.65,1472,1727,6624,3108,4,Doujinshi,1,2,Finished,"Aug  12, 2012","[""'Boys Love'"", ""'Erotica'"", ""'School'""]",Seinen,Galette,"[""'Nekota,Yonezou'""]",2012-08-12,2012-08-12,0,0,0,0
Lonely Girl ni Sakaraenai dj - Kekkyoku Sonna Kimi ga Suki,7.64,733,2034,11999,1454,1,Doujinshi,1,2,Finished,"Feb  19, 2023","[""'Girls Love'"", ""'Slice of Life'""]",Seinen,Reijin,"[""'Kashikaze'""]",2023-02-19,2023-02-19,0,0,0,0
"Koisuru Boukun dj - Aru Hi, Mori no Naka.",7.64,1924,2035,5095,4169,33,Doujinshi,8,2,Finished,"Dec  29, 2005 to Dec  30, 2016","[""'Boys Love'"", ""'Erotica'""]",Seinen,Manga Time Family,"[""'Takanaga,Hinako'""]",2005-12-29,2016-12-30,3,2,0,1
Kimi wa Natsu no Naka dj - Akane no Koro (Evening Glow),7.63,1131,2124,8055,2450,5,Doujinshi,1,2,Finished,"Oct  1, 2017","[""'Boys Love'""]",Shoujo,Badi,"[""'Furuya,Nagisa'""]",2017-10-01,2017-10-01,1,1,0,0
Lonely Girl ni Sakaraenai dj - Marking,7.62,458,2159,16773,899,7,Doujinshi,1,2,Finished,"Sep  3, 2023","[""'Girls Love'"", ""'Slice of Life'""]",Shoujo,Comic Valkyrie,"[""'Kashikaze'""]",2023-09-03,2023-09-03,0,0,0,0
Hidoku Shinaide dj - Yasashiku Shinaide,7.62,1002,2160,7741,2573,8,Doujinshi,6,2,Finished,"Aug  2006 to Dec  30, 2011","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Badi,"[""'Nekota,Yonezou'""]",2006-08-01,2011-12-30,0,0,0,0
Hidoku Shinaide dj - Imasara Briefs no Miryoku ni Kizukimashita.,7.59,1269,2161,7674,2594,4,Doujinshi,1,1,Finished,"Dec  30, 2012","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Magazine Cyberia,"[""'Nekota,Yonezou'""]",2012-12-30,2012-12-30,1,0,0,1
Sonomama de,7.59,1399,2162,7939,2490,4,Doujinshi,5,6,Finished,"Aug  16, 2009 to Mar  3, 2013","[""'Boys Love'"", ""'Erotica'""]",Seinen,Comic ExE,"[""'Asou,Kai'""]",2009-08-16,2013-03-03,1,1,0,0
Mousou Elektel dj - Fumi-kun mo Mousou,7.58,1332,2163,7229,2788,2,Doujinshi,1,1,Finished,"Dec  30, 2009","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Comic Valkyrie,"[""'Nekota,Yonezou'""]",2009-12-30,2009-12-30,0,0,0,0
Hidoku Shinaide dj - Onsen Flag Kaishuu!!,7.57,905,2164,9265,2049,3,Doujinshi,1,1,Finished,"Dec  30, 2013","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Comic ExE,"[""'Nekota,Yonezou'""]",2013-12-30,2013-12-30,0,0,0,0
Junjou Romantica dj - Chika*Chika Cheap★Star,7.55,761,2618,9672,1940,14,Doujinshi,1,1,Finished,2003,"[""'Boys Love'"", ""'Comedy'""]",Seinen,Reijin,"[""'Nakamura,Shungiku'""]",2003-01-01,2003-01-01,0,0,0,0
Katekyo! Brap dj - Kemomimi,7.54,1382,2619,7435,2703,2,Doujinshi,1,1,Finished,2010,"[""'Boys Love'"", ""'Comedy'"", ""'Romance'"", ""'Erotica'""]",Shoujo,drap,"[""'Moegi,Yuu'""]",2010-01-01,2010-01-01,0,0,0,0
Seika Jogakuin Koutoubu Kounin Sao-ojisan (The Seika Girls and the School-Sanctioned Gigolo),7.53,410,2620,10721,1702,27,Doujinshi,1,2,Publishing,"Aug  31, 2018 to ?","[""'Hentai'""]",Seinen,Comic ExE,"[""'Kurosu,Gatari'""]",2018-08-31,Updating,0,0,0,0
Game-bu,7.51,242,2838,20852,629,33,Doujinshi,12,2,Finished,"Nov  18, 2012 to Feb  12, 2017","[""'Slice of Life'"", ""'School'""]",Seinen,Galette meets,"[""'Mozou Crystal'""]",2012-11-18,2017-02-12,2,1,1,0
Katekyo! dj - Milk Soda,7.51,907,2839,9281,2044,4,Doujinshi,1,2,Finished,"Aug  11, 2013","[""'Boys Love'"", ""'Romance'"", ""'Erotica'""]",Seinen,Manga Time Family,"[""'Moegi,Yuu'"", ""'Takaoka,Nanaroku'""]",2013-08-11,2013-08-11,0,0,0,0
Ookami Shounen to Ham no Hito (The Boy Who Cried Wolf),7.51,880,2840,11146,1616,14,Doujinshi,1,2,Finished,"Aug  12, 2012","[""'Boys Love'"", ""'Erotica'""]",Shoujo,Comic ExE,"[""'Itto'""]",2012-08-12,2012-08-12,3,2,0,1
Sorenari ni Shinken Nan desu. dj - Suki no Katei,7.5,566,2841,13958,1184,4,Doujinshi,1,2,Finished,"Aug  14, 2011","[""'Boys Love'"", ""'Slice of Life'"", ""'Erotica'""]",Seinen,Reijin,"[""'Asou,Kai'""]",2011-08-14,2011-08-14,0,0,0,0
Aru Yoru. (NightS: Another Night),7.5,862,2842,10268,1800,6,Doujinshi,1,2,Finished,"Mar  3, 2013","[""'Boys Love'"", ""'Erotica'""]",Seinen,Galette meets,"[""'Yoneda,Kou'""]",2013-03-03,2013-03-03,0,0,0,0
Hidoku Shinaide dj - Boku no Brief ni Itazura,7.49,854,2843,10015,1852,4,Doujinshi,1,1,Finished,"Aug  15, 2015","[""'Boys Love'"", ""'Erotica'""]",Seinen,Magazine Cyberia,"[""'Nekota,Yonezou'""]",2015-08-15,2015-08-15,0,0,0,0
Lemonade,7.48,1089,2844,7991,2475,2,Doujinshi,1,2,Finished,"Aug  12, 2012","[""'Boys Love'"", ""'Erotica'""]",Shoujo,drap,"[""'Moegi,Yuu'"", ""'Takaoka,Nanaroku'""]",2012-08-12,2012-08-12,0,0,0,0
Hitozukiai ga Nigate na Miboujin no Yukionna-san to Noroi no Yubiwa (The Shy Snow Woman and the Cursed Ring),7.47,561,2845,9011,2127,68,Doujinshi,1,2,Publishing,"Jul  3, 2021 to ?","[""'Fantasy'"", ""'Hentai'""]",Shoujo,Badi,"[""'Puuzaki,Puuna'""]",2021-07-03,Updating,1,1,0,0
