Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Imaizumin Chi wa Douyara Gal no Tamariba ni Natteru Rashii (Imaizumi Brings All the Gyarus to His House),8.14,3213,,1914,"10,984",199,Doujinshi,Unknown,Unknown,Publishing,"Aug  11, 2019 to ?",['Hentai'],['Harem'],,,"Nori, Gorou (Story & Art)",4,"[3, 0, 1]"
Totally Captivated: The Last Episode,7.94,1678,,5898,"3,545",15,Doujinshi,2,Unknown,Finished,"Apr  17, 2010 to  2010","['Boys Love', 'Comedy', 'Drama', 'Erotica']",[],,,"Yoo, Ha Jin (Story & Art)",2,"[1, 1, 0]"
Michiru Heya (Inside God's Arms: A Room Filled With Love),7.88,3578,,2800,"7,771",57,Doujinshi,13,Unknown,Finished,"Aug  12, 2006 to Aug  16, 2014","['Boys Love', 'Erotica']",[],,,"Nekota, Yonezou (Story & Art)",4,"[2, 2, 0]"
Ane Naru Mono (Ane Naru Mono: The Elder-Sister Like One),7.85,3658,,1557,"13,469",235,Doujinshi,Unknown,Unknown,Publishing,"Aug  16, 2015 to ?","['Supernatural', 'Hentai']",[],,,"Iida, Pochi. (Story & Art)",3,"[2, 1, 0]"
Tonari no Ayane-san,7.74,447,,9218,"2,063",14,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2019 to ?",['Hentai'],[],,,Herio (Story & Art),0,"[0, 0, 0]"
Star Strings yori (From Star Strings),7.70,3110,1724,3629,"6,012",149,Doujinshi,1,Unknown,Finished,"Aug  14, 2011","['Adventure', 'Drama', 'Suspense']",['Psychological'],,,"Tsukushi, Akihito (Story & Art)",5,"[4, 1, 0]"
Oide yo! Mizuryuu Kei Land (Welcome to Mizuryukei Land),7.68,1328,,4512,"4,771",83,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2014 to ?",['Hentai'],[],,,"Mizuryu, Kei (Story & Art)",2,"[2, 0, 0]"
Succubus Stayed Life (Living With Succubus),7.66,1323,,3633,"6,007",70,Doujinshi,Unknown,Unknown,Publishing,"Dec  30, 2014 to ?",['Hentai'],['School'],,,"Sasamori, Tomoe (Story & Art)",0,"[0, 0, 0]"
Mousou Elektel dj - Shinaide + Elektel,7.65,1472,,6624,"3,108",4,Doujinshi,1,2,Finished,"Aug  12, 2012","['Boys Love', 'Erotica']",['School'],,,"Nekota, Yonezou (Story & Art)",0,"[0, 0, 0]"
Lonely Girl ni Sakaraenai dj - Kekkyoku Sonna Kimi ga Suki,7.64,733,2034,11999,"1,454",1,Doujinshi,1,Unknown,Finished,"Feb  19, 2023","['Girls Love', 'Slice of Life']",[],,,Kashikaze (Story & Art),0,"[0, 0, 0]"
