Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Monogatari Series: First Season,8.91,16984,19,277,"60,793","3,128",Light Novel,6,107,Finished,"Nov  1, 2006 to Jul  28, 2010","['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural']",['Vampire'],,Mephisto,"NISIO, ISIN (Story), VOFAN (Art)",14,"[13, 1, 0]"
Monogatari Series: Second Season,8.90,7579,23,792,"23,906",767,Light Novel,6,199,Finished,"Oct  27, 2010 to Dec  20, 2011","['Comedy', 'Drama', 'Mystery', 'Supernatural']",['Vampire'],,,"NISIO, ISIN (Story), VOFAN (Art)",3,"[3, 0, 0]"
Monogatari Series: Final Season,8.83,5451,31,994,"19,496",497,Light Novel,6,231,Finished,"Sep  28, 2012 to Sep  18, 2014","['Comedy', 'Mystery', 'Supernatural']",['Vampire'],,,"NISIO, ISIN (Story), VOFAN (Art)",0,"[0, 0, 0]"
Mushoku Tensei: Isekai Ittara Honki Dasu (Mushoku Tensei: Jobless Reincarnation),8.82,39184,34,170,"90,450","8,393",Light Novel,26,330,Finished,"Jan  23, 2014 to Nov  25, 2022",['Fantasy'],"['Isekai', 'Reincarnation']",,,"Rifujin na Magonote (Story), Sirotaka (Art)",63,"[47, 8, 8]"
Ookami to Koushinryou (Spice & Wolf),8.82,16497,35,251,"65,913","4,195",Light Novel,Unknown,Unknown,Publishing,"Feb  10, 2006 to ?","['Adventure', 'Drama', 'Fantasy', 'Romance', 'Supernatural']","['Adult Cast', 'Historical']",,,"Hasekura, Isuna (Story), Ayakura, Juu (Art)",11,"[11, 0, 0]"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (Classroom of the Elite),8.82,34422,36,175,"89,084","8,337",Light Novel,14,110,Finished,"May  25, 2015 to Sep  25, 2019",['Drama'],"['Psychological', 'School']",,,"Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)",39,"[35, 2, 2]"
86 (86: Eighty-Six),8.82,11167,37,414,"42,911","3,141",Light Novel,Unknown,Unknown,Publishing,"Feb  10, 2017 to ?","['Action', 'Drama', 'Sci-Fi']",['Military'],,,"Shirabi (Art), Asato, Asato (Story)",15,"[12, 3, 0]"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen (Classroom of the Elite: Year 2),8.80,15306,41,476,"38,314","2,327",Light Novel,Unknown,Unknown,Publishing,"Jan  24, 2020 to ?",['Drama'],"['Psychological', 'School']",,,"Tomose, Shunsaku (Art), Kinugasa, Shougo (Story)",9,"[3, 2, 4]"
Re:Zero kara Hajimeru Isekai Seikatsu (Re:ZERO -Starting Life in Another World-),8.79,22240,42,223,"72,513","5,660",Light Novel,Unknown,Unknown,Publishing,"Jan  23, 2014 to ?","['Drama', 'Fantasy', 'Suspense']","['Isekai', 'Psychological', 'Time Travel']",,,"Nagatsuki, Tappei (Story), Ootsuka, Shinichirou (Art)",14,"[12, 1, 1]"
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen (Ascendance of a Bookworm: I'll do Anything to Become a Librarian!),8.77,5168,43,1204,"16,468","1,154",Light Novel,33,Unknown,Finished,"Jan  25, 2015 to Dec  9, 2023",['Fantasy'],"['Isekai', 'Reincarnation']",,,"Shiina, You (Art), Kazuki, Miya (Story)",15,"[12, 2, 1]"
