Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
The Greatest Estate Developer,8.75,14072,46,563,"32,798","1,489",Manhwa,Unknown,Unknown,Publishing,"Jul  30, 2021 to ?","['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Reincarnation']",,Naver Webtoon,"Moon, Back-kyung (Story), Kim, Hyunsoo (Art)",20,"[17, 0, 3]"
The Horizon,8.70,45226,59,153,"96,853","4,878",Manhwa,3,21,Finished,"Mar  30, 2016 to Jul  21, 2016","['Adventure', 'Drama']",['Psychological'],,Comica,"Jeong, Ji-Hoon (Story & Art)",61,"[53, 8, 0]"
Solo Leveling,8.66,315603,68,5,"530,932","45,340",Manhwa,Unknown,201,Finished,"Mar  4, 2018 to May  31, 2023","['Action', 'Adventure', 'Fantasy']","['Adult Cast', 'Urban Fantasy']",,KakaoPage,"Chugong (Story), Jang, Sung-rak (Art), Disciples (Art)",284,"[170, 74, 40]"
No Home,8.65,1802,73,4504,"4,779",347,Manhwa,Unknown,269,Finished,"Dec  31, 2018 to Aug  5, 2024",['Slice of Life'],['School'],,Naver Webtoon,Wanan (Story & Art),9,"[9, 0, 0]"
Wind Breaker,8.63,20438,78,300,"56,446","3,365",Manhwa,Unknown,Unknown,Publishing,"Dec  15, 2013 to ?","['Action', 'Drama', 'Sports']",[],,Naver Webtoon,"Jo, Yongseok (Story & Art)",15,"[13, 1, 1]"
After School Lessons for Unripe Apples,8.59,2346,104,3480,"6,273",403,Manhwa,Unknown,Unknown,Publishing,"Dec  23, 2020 to ?",['Romance'],['School'],,Naver Webtoon,Soonkki (Story & Art),4,"[4, 0, 0]"
Seasons of Blossom,8.58,5715,105,1602,"13,107",640,Manhwa,12,135,Finished,"Jun  24, 2020 to Mar  24, 2023",['Romance'],['Love Polygon'],,Naver Webtoon,"Hongduck (Story), NEMONE (Art)",9,"[9, 0, 0]"
Omniscient Reader's Viewpoint,8.58,54378,107,100,"127,457","6,865",Manhwa,Unknown,Unknown,Publishing,"May  26, 2020 to ?","['Action', 'Adventure', 'Fantasy']",['Urban Fantasy'],,Naver Webtoon,"sing N song (Story), Sleepy-C (Art)",32,"[25, 2, 5]"
Eleceed,8.53,11726,129,646,"28,766","1,333",Manhwa,Unknown,Unknown,Publishing,"Oct  2, 2018 to ?",['Action'],['Super Power'],,Naver Webtoon,"Kim, Hye-Jin (Art), Son, Jae-Ho (Story)",15,"[13, 1, 1]"
The Legend of the Northern Blade,8.51,14535,139,480,"38,075","1,130",Manhwa,Unknown,Unknown,Publishing,"Dec  31, 2019 to ?","['Action', 'Adventure', 'Fantasy']",['Martial Arts'],,KakaoPage,"Woogack (Story), Hae, Min (Art)",10,"[9, 1, 0]"
