Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Berserk: Shinen no Kami 2,8.49,10094,153,1040,"18,904",133,One-shot,Unknown,1,Finished,"Jul  12, 1996",[],[],Seinen,Young Animal,"Miura, Kentarou (Story & Art)",5,"[3, 0, 2]"
Koe no Katachi,8.38,35370,237,267,"61,892",690,One-shot,Unknown,1,Finished,"Jan  8, 2011",['Drama'],['School'],Shounen,Bessatsu Shounen Magazine,"Ooima, Yoshitoki (Story & Art)",14,"[14, 0, 0]"
One Piece: Strong World,8.07,9093,627,1230,"16,238",122,One-shot,Unknown,1,Finished,"Nov  21, 2009 to Dec  12, 2009","['Action', 'Adventure', 'Fantasy']",[],Shounen,Shounen Jump (Weekly),"Oda, Eiichiro (Story & Art)",0,"[0, 0, 0]"
Ouran Koukou Host Club Short Special,8.04,2504,673,3571,"6,115",20,One-shot,Unknown,1,Finished,Nov  2010,['Comedy'],[],,LaLa,"Hatori, Bisco (Story & Art)",1,"[0, 0, 1]"
Tokidoki,8.01,29412,730,367,"47,688",974,One-shot,Unknown,1,Finished,"Oct  20, 2016","['Drama', 'Romance']",['School'],Shounen,Jump GIGA,"Komi, Naoshi (Story & Art)",31,"[25, 6, 0]"
Naruto Gaiden: Uzu no Naka no Tsumujikaze (Naruto: The Whorl within the Spiral),7.89,6184,1003,2415,"8,847",59,One-shot,Unknown,1,Finished,"Jul  17, 2023","['Action', 'Adventure', 'Fantasy']",['Martial Arts'],Shounen,Shounen Jump (Weekly),"Kishimoto, Masashi (Story & Art)",7,"[5, 2, 0]"
Yuusha Goikkou no Kaerimichi,7.86,6904,1085,1706,"12,301",170,One-shot,Unknown,1,Finished,"Aug  2, 2018","['Adventure', 'Drama', 'Fantasy']",[],Shounen,Shounen Jump+,"Hirano, Ryouji (Story & Art)",9,"[8, 0, 1]"
Bleach: Gokui Meimei-hen (Bleach: Special One-shot),7.85,9290,1139,1457,"14,190",120,One-shot,Unknown,1,Finished,"Aug  10, 2021","['Action', 'Supernatural']",['Super Power'],Shounen,Shounen Jump (Weekly),"Kubo, Tite (Story & Art)",3,"[2, 1, 0]"
Kon no Ki Konoha,7.77,9099,1410,1317,"15,443",138,One-shot,Unknown,1,Finished,"Dec  7, 2007","['Fantasy', 'Romance']",['School'],Josei,Mugen Anthology Series,"Yumeka, Sumomo (Story & Art)",5,"[3, 2, 0]"
Haikyuu!! Tokubetsu Bangai-hen: Matsuri Futatabi (Haikyu!! Special One-shot: A Party Reignited),7.77,1291,1438,8514,"2,290",14,One-shot,Unknown,1,Finished,"Apr  25, 2022",['Sports'],['Team Sports'],Shounen,Shounen Jump (Weekly),"Furudate, Haruichi (Story & Art)",1,"[0, 0, 1]"
