Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Author,Total Review,Type Review
Akuma ni Chic x Hack,6.59,292,15001,13845,"1,197",1,2,12,Finished,"Mar  19, 2016 to Oct  5, 2016","['Fantasy', 'Romance']",[],"Tanemura, Arina (Story & Art)",0,"[0, 0, 0]"
Manuke na FPS Player ga Isekai e Ochita Baai,6.59,2430,15002,2741,"7,921",22,Unknown,Unknown,Publishing,"Feb  9, 2016 to ?","['Action', 'Fantasy']",[],"Saiki, Junichi (Art), Jiraigen (Story)",4,"[4, 0, 0]"
Modokidomo,6.59,795,15003,9693,"1,934",0,2,20,Finished,"Jul  21, 2016 to Jun  15, 2017",[],[],"Aokawa, Nana (Story & Art)",1,"[1, 0, 0]"
Doukyuusei ni Koi wo Shita (My Bittersweet Crush),6.59,170,15004,19096,730,7,7,30,Finished,"Mar  3, 2016 to Apr  3, 2018","['Comedy', 'Romance']",[],"Miasa, Rin (Story & Art)",1,"[0, 0, 1]"
"Konna Amai Koto, Shiranai....",6.59,228,15005,19127,728,0,1,5,Finished,"Nov  11, 2016 to Jan  13, 2017",[],[],"Nishino, Kiina (Story & Art)",1,"[0, 0, 1]"
Kaijuu no Buki Shokunin,6.59,161,15006,19111,729,2,1,4,Finished,"Jul  20, 2016 to Oct  20, 2016",[],[],"Tanizaki, Shuuhei (Story & Art)",0,"[0, 0, 0]"
Yuusha desu ga Isekai de Elf Yome to Pizza-ten Hajimemasu (The Hero and His Elf Bride Open a Pizza Parlor in Another World),6.59,143,15007,12804,"1,334",9,1,17,Finished,"Jan  25, 2017",[],[],"Kizaki, Kaya (Story), Shirakomiso (Art)",1,"[1, 0, 0]"
Granblue Fantasy,6.59,608,15008,7418,"2,710",9,7,44,Finished,"May  8, 2016 to Dec  1, 2019","['Adventure', 'Fantasy']",[],"Fuugetsu, Makoto (Story), cocho (Art)",1,"[0, 0, 1]"
Inuwashi Momo wa Yuruganai (Momo's Iron Will),6.59,206,15009,13227,"1,277",4,Unknown,Unknown,Publishing,"Oct  28, 2016 to ?","['Comedy', 'Romance']",[],"Kojima, Lalako (Story & Art)",0,"[0, 0, 0]"
Sister to Vampire,6.59,145,15010,20546,645,2,9,80,Finished,"Oct  10, 2014 to Aug  1, 2020","['Romance', 'Supernatural']",[],Akatsuki (Story & Art),0,"[0, 0, 0]"
Juuni Taisen (Juni Taisen: Zodiac War),6.59,1476,15011,5133,"4,130",24,4,29,Finished,"Sep  23, 2017 to May  12, 2018",[],[],"NISIO, ISIN (Story), Akatsuki, Akira (Art)",3,"[2, 1, 0]"
Astro Baby,6.59,838,15012,6553,"3,146",4,Unknown,Unknown,Publishing,"Feb  3, 2024 to ?",[],[],"Moriya, Shiro (Story & Art)",2,"[2, 0, 0]"
Isekai de Dekiai Yandere ga Hanashite Kuremasen! Anthology Comic,6.59,102,15013,34102,227,0,1,5,Finished,"Dec  14, 2023","['Fantasy', 'Romance']",[],"Ao, Agu (Art), Yatsuhachi, Hachi (Art), Kotoko (Story), Shino, Akisato (Art)",0,"[0, 0, 0]"
Jitsuzon Unplugged (Existential Unplugged),6.59,136,15014,22809,532,2,Unknown,Unknown,Publishing,"Mar  31, 2024 to ?",[],"['Music', 'Reincarnation']","Masaya, Kana (Art), Komori, Saji (Story)",0,"[0, 0, 0]"
Yamu ni Yamarenu! Tensei Kenja no Heion(?) na Nichijou,6.58,106,15015,20118,668,0,Unknown,Unknown,Publishing,"Jun  7, 2024 to ?","['Comedy', 'Fantasy', 'Ecchi']","['Harem', 'Reincarnation']",Parabora (Story & Art),1,"[1, 0, 0]"
Koji Koi,6.58,307,15016,17818,816,1,2,9,Finished,"Jan  21, 2017 to Oct  25, 2018","['Drama', 'Romance']",[],"Tagura, Tohru (Art), Takaoka, Karin (Story)",1,"[0, 0, 1]"
Urushiha Sarara wa Koi nado Shinai! (Sarara Urushiha Is Not Into Romance),6.58,342,15017,9407,"2,013",9,4,33,Finished,"Jan  4, 2018 to May  1, 2021","['Comedy', 'Romance']",[],Puyo (Story & Art),0,"[0, 0, 0]"
Blue Phobia,6.58,1994,15018,4420,"4,891",46,2,18,Finished,"Dec  7, 2017 to May  10, 2018","['Action', 'Supernatural']",[],"Tsuruyoshi, Eri (Story & Art)",2,"[2, 0, 0]"
Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,6.58,3834,15019,1619,"12,969",65,6,37,Finished,"Nov  9, 2017 to Dec  9, 2020","['Comedy', 'Romance', 'Ecchi']","['Harem', 'School']","CHuN (Art), Hanama, Tomo (Story), iimAn (Art)",3,"[3, 0, 0]"
Re:Creators: One More!,6.58,128,15020,26774,392,0,1,6,Finished,"Jun  12, 2017 to Nov  10, 2017","['Comedy', 'Fantasy', 'Romance']",[],"Kumagai, Yuuki (Story & Art)",0,"[0, 0, 0]"
Kuro-chan Chi no Oshiire ga Tsukaenai Wake,6.58,528,15021,11385,"1,568",3,2,24,Finished,"Aug  27, 2015 to Jan  27, 2018","['Comedy', 'Sci-Fi', 'Slice of Life']",[],"Hanabana, Tsubomi (Story & Art)",1,"[0, 1, 0]"
Ikenai Kanojo no Otetsudai,6.58,1118,15022,6838,"2,997",10,3,29,Finished,"Aug  4, 2017 to Aug  17, 2018","['Comedy', 'Supernatural']",[],"Nakahara, Kaihei (Story & Art)",1,"[1, 0, 0]"
Babylon,6.58,137,15023,11860,"1,475",6,2,18,Finished,"Feb  25, 2019 to Oct  7, 2019","['Mystery', 'Suspense']",[],"Nozaki, Mado (Story), Takishita, Nobuhide (Art)",0,"[0, 0, 0]"
Abyss Rage,6.58,2013,15024,4464,"4,828",21,8,100,Finished,"May  31, 2018 to Feb  4, 2021","['Action', 'Drama']",[],"Narita, Nariaki (Story & Art)",4,"[2, 2, 0]"
Saotome Shimai wa Manga no Tame nara!?,6.58,3312,15025,1278,"15,785",71,10,106,Finished,"Jun  6, 2018 to Jun  23, 2021","['Comedy', 'Ecchi']",[],"Yamamoto, Ryouhei (Story & Art)",4,"[4, 0, 0]"
