Title,Score,Vote,Ranked,Popularity,Members,Favorite,Types,Volumes,Chapters,Status,Published,Genres,Themes,Demographic,Serialization,Author,Total Review,Type Review
Astro Baby,6.59,838,15001,6558,"3,146",4,Manga,Unknown,Unknown,Publishing,"Feb  3, 2024 to ?",['Sci-Fi'],[],Shounen,Shounen Jump+,"Moriya, Shiro (Story & Art)",2,"[2, 0, 0]"
Isekai de Dekiai Yandere ga Hanashite Kuremasen! Anthology Comic,6.59,102,15002,34126,227,0,Manga,1,5,Finished,"Dec  14, 2023","['Fantasy', 'Romance']",['Isekai'],,,"Ao, Agu (Art), Yatsuhachi, Hachi (Art), Kotoko (Story), Shino, Akisato (Art)",0,"[0, 0, 0]"
Jitsuzon Unplugged (Existential Unplugged),6.59,136,15003,22787,534,2,Manga,Unknown,Unknown,Publishing,"Mar  31, 2024 to ?",['Comedy'],"['Music', 'Reincarnation']",Shounen,Shounen Jump+,"Masaya, Kana (Art), Komori, Saji (Story)",0,"[0, 0, 0]"
Amaama-kun no Okashi na Yuuwaku,6.59,168,15004,18188,790,0,Manga,Unknown,14,Finished,"Jan  23, 2016 to Apr  24, 2017","['Comedy', 'Romance']",['School'],Shoujo,Dessert,"Tokino, Mitsuru (Story & Art)",1,"[1, 0, 0]"
Gedara,6.59,183,15005,28681,339,0,One-shot,Unknown,1,Finished,"Sep  7, 2015","['Horror', 'Supernatural']",[],Seinen,good! Afternoon,"Terada, Atarou (Story & Art)",0,"[0, 0, 0]"
"Seichou Cheat de Nandemo Dekiruyou ni Natta ga, Mushoku dake wa Yamerarenai you desu",6.59,2043,15006,2670,"8,091",21,Manga,Unknown,Unknown,Publishing,"Nov  21, 2017 to ?","['Adventure', 'Fantasy']",[],,ComicWalker,"Tokino, Yousuke (Story), Hashimoto, Ryouta (Art)",1,"[0, 1, 0]"
Kuromori-san wa Smartphone ga Tsukaenai,6.59,870,15007,8466,"2,307",6,Manga,3,16,Finished,"Nov  27, 2017 to Feb  27, 2019","['Comedy', 'Romance']",['School'],Seinen,Comic Alive,"Yoshihara, Masahiko (Story & Art)",0,"[0, 0, 0]"
Watashitachi wa Koi wo Egakenai,6.59,742,15008,11753,"1,497",4,Manga,Unknown,21,Finished,"Jun  15, 2018 to May  24, 2019","['Girls Love', 'Slice of Life']",[],,Young Ace UP,Akamaru (Story & Art),2,"[1, 1, 0]"
Uzumaki Tokubetsu-hen: Ginga,6.59,7393,15009,1914,"10,967",9,One-shot,Unknown,1,Finished,"Jan  31, 2000",['Horror'],[],Seinen,Big Comic Spirits,"Itou, Junji (Story & Art)",4,"[4, 0, 0]"
Gusha no Hoshi (Planet of the Fools),6.59,158,15010,16163,951,0,Manga,8,33,Finished,"Aug  6, 2019 to Apr  6, 2022","['Action', 'Adventure', 'Sci-Fi']",[],Shounen,Shounen Magazine (Monthly),"Endo, Hiroki (Story & Art)",1,"[1, 0, 0]"
Kane to Ai to Watashi,6.59,186,15011,25894,420,1,One-shot,Unknown,1,Finished,"Aug  10, 2019","['Comedy', 'Romance']",['School'],Shounen,Shounen Jump+,"Numa, Shun (Story & Art)",0,"[0, 0, 0]"
Ikenai Otona.,6.59,150,15012,29964,307,0,Manga,1,5,Finished,"May  5, 2019 to Oct  20, 2019",['Girls Love'],[],,Palcy,"Notoyama, Keiko (Story & Art)",0,"[0, 0, 0]"
